グラフ中のタイトルをsに設定する	plt.title(s)
リストxdataとリストydataについての散布図をバイオレット色で描画する	plt.plot(xdata, ydata, c='violet')
リストxdataとリストydataについての散布図をライトサーモン色で描画する	plt.plot(xdata, ydata, c='lightsalmon')
データフレームdfを__Y__によってソートする	df.sort_values(by=col)
リストxdataとリストydataについてパパイヤウィップ色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='papayawhip')
散布図にライム色のマーカーを使う	plt.plot(xdata, ydata, c='lime')
折れ線グラフのマーカーを四角に設定する	plt.plot(xdata, ydata, marker='s')
リストxdataをミディアムオーキッド色のヒストグラムで描画する	plt.hist(xdata, color='mediumorchid')
改行なしにnを表示する	print(n, end='')
Pandasで、__Y__を日付データに変換し、dfのインデックスにする	df.index = pd.to_datetime(df)
データフレームdf中にある文字列valueの合計を数える	df.isin([value]).sum()
x、x2、x3の最小値	min(x, x2, x3)
日時dtををn月後に進める	dt + datetime.timedelta(months=n)
オブジェクトobjはリストクラスか調べる	isinstance(obj, list)
破線グラフの色を青に設定する	plt.plot(xdata, ydata, linestyle='dash', color='blue')
nをn2だけ減少させる	n -= n2
リストxdataとリストydataの青い破線グラフを描画する	plt.plot(xdata, ydata, linestyle='dashed', color='b')
散布図にライトスレイグレー色のマーカーを使う	plt.plot(xdata, ydata, c='lightslategrey')
リストxdataとリストydataについて折れ線グラフを描画して、その色をデピンクに設定する	plt.plot(xdata, ydata, color='deeppink')
sを最後のs2で二分する	s.rpartition(s2)
オブジェクトobjは集合クラスか調べる	isinstance(obj, set)
エポックtimestampを日時に変換する	datetime.datetime.fromtimestamp(timestamp)
ファイルfilenameの拡張子なしのファイル名を使う	os.path.splitext(os.path.basename(filename))[0]
x、x2、x3の最大値	max(x, x2, x3)
セットasetがセットaset2と共通の要素を持たないか調べる	aset.isdisjoint(aset2)
散布図にパレットトルコイズ色のマーカーを使う	plt.plot(xdata, ydata, c='paleturquoise')
リストxdataとリストydataについての散布図をドジャーブルー色で描画する	plt.plot(xdata, ydata, c='dodgerblue')
散布図にカラーコードrgbのダイアモンドマーカーを使う	plt.plot(xdata, ydata, marker='D', c=rgb)
データ列dsの母標準偏差	ds.std(ddof=0)
sを走査し、パターンpatternに複数行対応としてマッチするか見る	re.search(pattern, s, flags=re.MULTILINE)
ファイルfilenameからストリームをオープンして]、fileとする	file = open(filename)
リストxdataとリストydataについてスカイブルー色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='skyblue')
xのx2乗してx3による余り	pow(x, x2, x3)
日付adateの曜日を整数で使う	adate.weekday()
リストxdataとリストydataの折れ線グラフに、赤いバツマーカーを描画する	plt.plot(xdata, ydata, marker='x', markerfacecolor='r')
リストxdataとリストydataについて散布図を描画して、マーカーの色をミッドナイトブルーに設定する	plt.plot(xdata, ydata, c='midnightblue')
データ列dsの曜日の名前	ds.dt.weekday_name
リストiterableのそれぞれを関数funcでフィルタする	filter(func, iterable)
リストxdataとリストydataについて破線グラフを描画して、その色をミッドナイトブルーに設定する	plt.plot(xdata, ydata, linestyle='dash', color='midnightblue')
破線グラフの色をピーチパフに設定する	plt.plot(xdata, ydata, linestyle='dash', color='peachpuff')
リストxdataとリストydataについてスノー色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='snow')
データ列dsの欠損値を最頻値に設定する	ds.fillna(ds.mode().iloc[0])
リストxdataとリストydataについて折れ線グラフを描画して、その色をミディアムブルーに設定する	plt.plot(xdata, ydata, color='mediumblue')
ダークバイオレット色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='darkviolet')
グラフの背景色を白くする	sns.set(style='whitegrid')
データフレームdfをカラムcolによって降順に破壊的にソートする	df.sort_values(by=col, ascending=False, inplace=True)
散布図にコーンズシルク色のマーカーを使う	plt.plot(xdata, ydata, c='cornsilk')
リストxdataとリストydataについてコーンズシルク色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='cornsilk')
ティール色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='teal')
黄色い折れ線グラフを描画する	plt.plot(xdata, ydata, color='y')
リストxdataとリストydataの折れ線グラフに、線幅nの下三角マーカーを描画する	plt.plot(xdata, ydata, marker='v', markeredgewidth=n)
シアン色でリストxdataについてのヒストグラムを描画する	plt.hist(xdata, color='cyan')
リストxdataとリストydataについての散布図をコーンズシルク色で重なりを見やすく描画する	plt.plot(xdata, ydata, c='cornsilk', alpha=0.5)
データ列dsの秒	ds.dt.second
データフレームdfのカラムcolの要約統計量	df[col].describe()
時間を使う	import time
カウンタaCounterから0以下のカウントを取り除く	+aCounter
nをn2で割った結果を切り上げる	(n + n2 - 1) // n2
データフレームdfのリストalistカラムを1000の位で丸めて、整数型にする	df[alist].round(-3).astype(int)
リストxdataとリストydataの折れ線グラフに丸マーカーを描画する	plt.plot(xdata, ydata, marker='o')
データフレームを表示するとき、小数点以下n桁まで表示可能なようにする	pd.set_option('precision', n)
リストxdataとリストydataについて折れ線グラフを描画して、その色をトマトに設定する	plt.plot(xdata, ydata, color='tomato')
文字列elementの出力を改行なしに行う	print(iterable, end='')
リストxdataとリストydataについてマルーン色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='maroon')
散布図にライトイエロー色のマーカーを使う	plt.plot(xdata, ydata, c='lightyellow')
データ列dsの標本標準偏差	ds.std()
ビン数をnに設定してリストxdataのヒストグラムを描画する	plt.hist(xdata, bins=n)
リストxdataとリストydataについて散布図を描画して、マーカーの色を赤に設定する	plt.plot(xdata, ydata, c='red')
リストxdataをアイボリー色のヒストグラムで描画する	plt.hist(xdata, color='ivory')
データフレームdfとデータフレームdf2をカラムcolをキーにして内部結合する	pd.merge(df, df2, on=col, how='inner')
セットasetをタプルに変換する	tuple(aset)
ゴーストホワイト色のマーカーで散布図を重なりを見やすく描画する	plt.plot(xdata, ydata, c='ghostwhite', alpha=0.5)
データフレームdfをカラムcol毎にグループ化して、カラムcol2の最小値を求める	df.groupby(col)[col2].min()
散布図に黒い丸マーカーを使う	plt.plot(xdata, ydata, marker='o', c='k')
グラフを見やすくする	import seaborn as sns
データフレームdfのカラムcolがxより大きくx2より小さい行を抽出する	df[(x < df[col]) & (df[col] < x2)]
リストalistに応じて、散布図の色を変える	plt.scatter(xdata, ydata, c=alist, cmap='Blues')
破線グラフの色をダーク・スラテグレーに設定する	plt.plot(xdata, ydata, linestyle='dash', color='darkslategrey')
データフレームdfのカラムcolについてヒストグラムを描画する	plt.hist(df[col])
破線グラフの色をシルバーに設定する	plt.plot(xdata, ydata, linestyle='dash', color='silver')
折れ線グラフの色をサドルブラウンに設定する	plt.plot(xdata, ydata, color='saddlebrown')
xにx2を加える	x + x2
レモンシフォン色のマーカーで散布図を重なりを見やすく描画する	plt.plot(xdata, ydata, c='lemonchiffon', alpha=0.5)
現在の秒数	datetime.date.today().second
アイボリー色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='ivory')
カウンタaCounterを高頻出順に列挙する	aCounter.most_common()
リストxdataをグレー色のヒストグラムで描画する	plt.hist(xdata, color='grey')
破線グラフの色をサドルブラウンに設定する	plt.plot(xdata, ydata, linestyle='dash', color='saddlebrown')
コマンド引数を一案として得る	sys.argv[1:]
sを太字で表示する	print(f'\033[1m{s}\033[0m')
arrayをビン数nでビン分割する	pd.cut(array, n)
データフレームdfとデータフレームdf2をカラムcolをキーにして結合する	pd.merge(df, df2, on=col)
xをの小数点以下第一位で丸める	round(x, 1)
長さnのリスト	[0] * n
リストxdataのヒストグラムを描画する	plt.hist(xdata)
日付adateと日付adate2の時間差を秒数で求める	(adate - adate2).total_seconds()
データフレームdfをカラムcol毎にグループ化して、カラムcol2の最大値を求める	df.groupby(col)[col2].max()
データフレームdfをインデックスによってソートする	df.sort_index()
リストxdataをグレー色のヒストグラムで描画する	plt.hist(xdata, color='gray')
デックdeqをタプルに変換する	tuple(deq)
赤色のマーカーで散布図を描画する	plt.plot(xdata, ydata, c='red')
リストxdataとリストydataについて散布図を描画して、マーカーの色をカデットブルーに設定する	plt.plot(xdata, ydata, c='cadetblue')
赤色の折れ線グラフを描画する	plt.plot(xdata, ydata, color='red')
破線グラフの色をダークオレンジに設定する	plt.plot(xdata, ydata, linestyle='dash', color='darkorange')
リストxdataをシーグリーン色のヒストグラムで描画する	plt.hist(xdata, color='seagreen')
リストxdataをピーチパフ色のヒストグラムで描画する	plt.hist(xdata, color='peachpuff')
散布図にオールドレース色のマーカーを使う	plt.plot(xdata, ydata, c='oldlace')
xの角度	math.degrees(x)
スピアマン相関係数でデータフレームdfのリストalistカラムの相関行列	df[alist].corr(method='spearman')
Pandasで、xを日付データに変換する	pd.to_datetime(x)
グラフ中の日本語フォントを有効にする	sns.set(font='IPAexGothic')
n割るn2の切り上げ	(n + n2 - 1) // n2
ダークターコイズ色のマーカーで散布図を重なりを見やすく描画する	plt.plot(xdata, ydata, c='darkturquoise', alpha=0.5)
リストxdataとリストydataについてコーラル色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='coral')
セットasetとセットaset2の対称差集合	aset.symmetric_difference(aset2)
リストxdataとリストydataについてリネン色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='linen')
リストxdataとリストydataの折れ線グラフにバツマーカーを描画する	plt.plot(xdata, ydata, marker='x')
リストxdataとリストydataについて折れ線グラフを描画して、その色を耐火レンガに設定する	plt.plot(xdata, ydata, color='firebrick')
リストxdataとリストydataについての散布図をライトコーラル色で描画する	plt.plot(xdata, ydata, c='lightcoral')
破線グラフの色をミディアムシアグリーンに設定する	plt.plot(xdata, ydata, linestyle='dash', color='mediumseagreen')
データフレームdfのカラムcolを100の位で丸めて、整数型にする	df[col].round(-2).astype(int)
オールドレース色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='oldlace')
データフレームdfのカラムcolが正規分布からどの程度、尖っているか見る	df[col].skew()
グラフのカラーパレットを暗くする	sns.set(pallete='dark')
カウンタaCounterを上位n個カウントが多い順に列挙する	aCounter.most_common(n)
線幅nの折れ線グラフを描画する	plt.plot(xdata, ydata, linewidth=n)
一点鎖線グラフの色を赤にする	plt.plot(xdata, ydata, linestyle='dashbot', color=rgb)
データフレームdfのリストalistカラムの値が欠損値か調べる	df[alist].isna()
データフレームを表示するとき、ヘッダー行を右寄せに設定する	pd.set_option('colheader_justify', 'right')
リストxdataとリストydataについて破線グラフを描画して、その色をミディアムスレートブルーに設定する	plt.plot(xdata, ydata, linestyle='dash', color='mediumslateblue')
ライムグリーン色の折れ線グラフを描画する	plt.plot(xdata, ydata, color='limegreen')
ブラック色のマーカーで散布図を描画する	plt.plot(xdata, ydata, c='black')
セットasetからセットaset2の要素を全て取り除く	aset.difference_update(aset2)
折れ線グラフの色をクリムゾンに設定する	plt.plot(xdata, ydata, color='crimson')
データフレームdfをカラムcol毎にグループ化して、カラムcol2の個数を求める	df.groupby(col)[col2].count()
リストxdataとリストydataについてミディアムアクアマリン色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='mediumaquamarine')
リストxdataとリストydataの一点鎖線グラフを描画して、その色を黒にする	plt.plot(xdata, ydata, linestyle='dashbot', color='k')
sのの中でパターンpatternにマッチした文字列をreplで置き換える	re.sub(pattern, repl, s)
グリーン色のマーカーで散布図を描画する	plt.plot(xdata, ydata, c='green')
リストxdataとリストydataについての散布図をブランチドアーモンド色で描画する	plt.plot(xdata, ydata, c='blanchedalmond')
グラフで使うフォントをsに指定する	sns.set(font=s)
折れ線グラフにダイアモンドマーカーを使う	plt.plot(xdata, ydata, marker='D')
リストxdataとリストydataについて散布図を描画して、マーカーの色をレモンシフォンに設定する	plt.plot(xdata, ydata, c='lemonchiffon')
リストxdataとリストydataについて散布図を描画して、マーカーを星に設定する	plt.plot(xdata, ydata, marker='*')
折れ線グラフの丸マーカーを赤くする	plt.plot(xdata, ydata, marker='o', markerfacecolor='r')
n年n2月n3日n4時n5分の日時	datetime.datetime(year=n, month=n2, day=n3, hour=n4, minite=n5)
n年n2月n3日を日付に変換する	datetime.date(year=n, month=n2, day=n3)
カウンタaCounter内の文字列element項目のカウント	aCounter[element]
点線グラフの色をカラーコードrgbに設定する	plt.plot(xdata, ydata, linestyle='dotted', color=rgb)
リストxdataとリストydataについて破線グラフを描画して、その色をライトグレーに設定する	plt.plot(xdata, ydata, linestyle='dash', color='lightgray')
リストxdataとリストydataについての散布図をハニーデュー色で描画する	plt.plot(xdata, ydata, c='honeydew')
デックdeq中の文字列elementのインデックス	deq.index(element)
折れ線グラフの色をビスクに設定する	plt.plot(xdata, ydata, color='bisque')
エクセルファイルファイルfilenameからn番目のシートをデータフレームとして読み込む	pd.read_excel(filename, sheet_name=n)
オプションで、出力先を標準エラーに設定する	file = sys.stderr
s全体がパターンpatternにASCII限定としてマッチするか見る	re.fullmatch(pattern, s, flags=re.ASCI)
リストxdataとリストydataについての散布図をライトスレイグレー色で重なりを見やすく描画する	plt.plot(xdata, ydata, c='lightslategray', alpha=0.5)
デックdeqの要素を右にローテートする	deq.rotate()
エクセルファイルファイルfilenameから全てのシートを読み込む	pd.read_excel(filename, sheet_name=None)
ハリウッド色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='burlywood')
xの小数部	math.modf(x)[0]
折れ線グラフの色をアザミに設定する	plt.plot(xdata, ydata, color='thistle')
リストxdataとリストydataについて折れ線グラフを描画して、その色をブラックに設定する	plt.plot(xdata, ydata, color='black')
リストxdataとリストydataの折れ線グラフに、緑色の大バツマーカーを描画する	plt.plot(xdata, ydata, marker='X', markerfacecolor='g')
リストxdataとリストydataについてリストalistの値に応じて、散布図の色を変える	plt.scatter(xdata, ydata, c=alist, cmap='Blues')
リストxdataとリストydataについて散布図を描画して、マーカーを丸に設定する	plt.plot(xdata, ydata, marker='o')
リストxdataとリストydataについて折れ線グラフを描画して、その色をオレンジレッドに設定する	plt.plot(xdata, ydata, color='orangered')
リストxdataとリストydataの折れ線グラフに、赤いダイアモンドマーカーを描画する	plt.plot(xdata, ydata, marker='D', markerfacecolor='r')
ハリウッド色でリストxdataについてのヒストグラムを描画する	plt.hist(xdata, color='burlywood')
日時dtからn分、減算する	dt - datetime.timedelta(minutes=n)
破線グラフの色をパールゴールデンロッドに設定する	plt.plot(xdata, ydata, linestyle='dash', color='palegoldenrod')
折れ線グラフの色をミディアムスレートブルーに設定する	plt.plot(xdata, ydata, color='mediumslateblue')
リストxdataとリストydataの折れ線グラフに、黄色い三角マーカーを描画する	plt.plot(xdata, ydata, marker='^', markerfacecolor='y')
青色の折れ線グラフを描画する	plt.plot(xdata, ydata, color='blue')
リストxdataとリストydataについての散布図をアクア色で描画する	plt.plot(xdata, ydata, c='aqua')
ナバホホワイト色の折れ線グラフを描画する	plt.plot(xdata, ydata, color='navajowhite')
シーグリーン色のマーカーで散布図を描画する	plt.plot(xdata, ydata, c='seagreen')
オブジェクトobjをデバッグ向けの文字列に変換する	repr(obj)
リストxdataとリストydataについての散布図をアンティークホワイト色で描画する	plt.plot(xdata, ydata, c='antiquewhite')
破線グラフの色をシエナに設定する	plt.plot(xdata, ydata, linestyle='dash', color='sienna')
ペルー色のマーカーで散布図を重なりを見やすく描画する	plt.plot(xdata, ydata, c='peru', alpha=0.5)
セットasetとセットaset2の和集合	aset.union(aset2)
リストxdataとリストydataについての散布図をサーモン色で描画する	plt.plot(xdata, ydata, c='salmon')
オブジェクトobjを表示する	print(obj)
nの各桁の総和	sum(map(int, str(n)))
Pandasで、データフレームdfのカラムcolをインデックスにする	df.set_index(col, inplace=True)
Pandasで、エポック秒のデータフレームdfのcollから日付データに変換する	pd.to_datetime(df[col], unit='s', utc=True)
nがn2よりも大きいか調べる	n > n2
標準エラーを得る	sys.stderr
リストxdataとリストydataについての散布図をグレー色で重なりを見やすく描画する	plt.plot(xdata, ydata, c='grey', alpha=0.5)
データフレームdfのカラムcolの平均値	df[col].mean()
リストxdataとリストydataのカラーコードrgbの一点鎖線グラフを描画する	plt.plot(xdata, ydata, linestyle='dashbot', color=rgb)
デックdeqの先頭から要素を取り除く	deq.popleft()
データフレームdfが正規分布からどの程度、歪んでいるか見る	df.kurt()
タプルatupleを反転する	reversed(atuple)
ドジャーブルー色のマーカーで散布図を重なりを見やすく描画する	plt.plot(xdata, ydata, c='dodgerblue', alpha=0.5)
リストxdataとリストydataについてゴーストホワイト色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='ghostwhite')
散布図に黒い左三角マーカーを使う	plt.plot(xdata, ydata, marker='<', c='k')
小麦色でリストxdataについてのヒストグラムを描画する	plt.hist(xdata, color='wheat')
事前にパターンpatternをコンパイルする	re.compile(pattern)
nがn2と等しいか調べる	n == n2
散布図に黄色色のマーカーを使う	plt.plot(xdata, ydata, c='yellow')
リストxdataとリストydataについて破線グラフを描画して、その色をロージーブラウンに設定する	plt.plot(xdata, ydata, linestyle='dash', color='rosybrown')
ロージーブラウン色のマーカーで散布図を描画する	plt.plot(xdata, ydata, c='rosybrown')
明日の日付	datetime.date.today() + datetime.timedelta(days=1)
リストxdataをライトグレー色のヒストグラムで描画する	plt.hist(xdata, color='lightgrey')
セットasetの濃度	len(aset)
リストxdataとリストydataについて散布図を描画して、マーカーの色をオリーブに設定する	plt.plot(xdata, ydata, c='olive')
セットasetとセットaset2が互いに素か調べる	aset.isdisjoint(aset2)
折れ線グラフの色をブランチドアーモンドに設定する	plt.plot(xdata, ydata, color='blanchedalmond')
ターコイズ色のマーカーで散布図を描画する	plt.plot(xdata, ydata, c='turquoise')
リストxdataとリストydataについて破線グラフを描画して、その色をネイビーに設定する	plt.plot(xdata, ydata, linestyle='dash', color='navy')
リストxdataとリストydataの赤い実線グラフを描画する	plt.plot(xdata, ydata, linestyle='solid', color='r')
リストxdataとリストydataの折れ線グラフに、黄色い丸マーカーを描画する	plt.plot(xdata, ydata, marker='o', markerfacecolor='y')
リストxdataとリストydataについて破線グラフを描画して、その色をモカシンに設定する	plt.plot(xdata, ydata, linestyle='dash', color='moccasin')
折れ線グラフの色をピンクに設定する	plt.plot(xdata, ydata, color='pink')
データフレームdfのカラムcolとデータフレームdf2のカラムcol2をキーにして結合する	pd.merge(df, df2, left_on=col, right_on=col2)
データフレームdfのカラムcolを破壊的に削除する	df.drop(col, axis=1, inplace=True)
破線グラフの色をラベンダーに設定する	plt.plot(xdata, ydata, linestyle='dash', color='lavender')
黒い三角マーカーで散布図を描画する	plt.plot(xdata, ydata, marker='^', c='k')
リストxdataとリストydataについての散布図をフォレストグリーン色で重なりを見やすく描画する	plt.plot(xdata, ydata, c='forestgreen', alpha=0.5)
データフレームdf中のカラムcolとカラムcol2に重複があれば、マスクする	df.duplicated(subset=[col1, col2])
データフレームdfのカラムcolの欠損値を最大値に設定する	df[col].fillna(df[col].max())
日付adateが日付adate2より前か調べる	adate < adate2
破線グラフの色をダークグリーンに設定する	plt.plot(xdata, ydata, linestyle='dash', color='darkgreen')
リストxdataとリストydataについての散布図を大きさnで描画する	plt.scatter(xdata, ydata, s=n)
レベッカパープル色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='rebeccapurple')
リストxdataとリストydataについて折れ線グラフを描画して、その色をサーモンに設定する	plt.plot(xdata, ydata, color='salmon')
ファイルfilenameをバイナリ書き込みモードでオープンして]、fとする	f = open(filename, mode='wb')
リストxdataとリストydataについての散布図に赤い四角マーカーを描画する	plt.plot(xdata, ydata, marker='s', c='r')
JSONファイルのファイル入力finを読み込んで、dataとする	data = json.load(fin)
インディゴ色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='indigo')
sのの中でASCII限定のパターンpatternにマッチした全ての文字列をリストに変換する	re.findall(pattern, s, flags=re.ASCI)
破線グラフの色をミッドナイトブルーに設定する	plt.plot(xdata, ydata, linestyle='dash', color='midnightblue')
リストxdataとリストydataについて散布図を描画して、マーカーの色をミディアムスレートブルーに設定する	plt.plot(xdata, ydata, c='mediumslateblue')
グラフにy=0の破線を付ける	plt.axhline(y=0, linestyle='dashed')
下三角マーカーで散布図を描画する	plt.plot(xdata, ydata, marker='v')
破線グラフの色をミントクリームに設定する	plt.plot(xdata, ydata, linestyle='dash', color='mintcream')
データフレームdfの数値をまとめて丸めて、インプレイスする	df.round(inplace=True)
散布図にベージュ色のマーカーを使う	plt.plot(xdata, ydata, c='beige')
破線グラフの色をペールグリーンに設定する	plt.plot(xdata, ydata, linestyle='dash', color='palegreen')
nをn2倍にする	n *= n2
データフレームdfをカラムcolとカラムcol2によって降順に破壊的にソートする	df.sort_values(by=[col,col2], ascending=False, inplace=True)
sの中からパターンpatternにマッチする文字列を探す	re.search(pattern, s)
チョコレート色でリストxdataについてのヒストグラムを描画する	plt.hist(xdata, color='chocolate')
リストxdataとリストydataについての散布図をミントクリーム色で重なりを見やすく描画する	plt.plot(xdata, ydata, c='mintcream', alpha=0.5)
オプションで、標準エラーを使う	file = sys.stderr
カーキ色の折れ線グラフを描画する	plt.plot(xdata, ydata, color='khaki')
リストxdataをダークゴールデンロッド色のヒストグラムで描画する	plt.hist(xdata, color='darkgoldenrod')
データフレームdfをカラムcolとカラムcol2によって降順にソートする	df.sort_values(by=[col,col2], ascending=False)
リストxdataとリストydataについて破線グラフを描画して、その色をダークオレンジに設定する	plt.plot(xdata, ydata, linestyle='dash', color='darkorange')
データフレームdfをカラムcol毎にグループ化して、列挙する	[(name, group) for name, group in df.groupby(col)]
オプションで、文字コードtextを使う	encoding = text
ミディアムアクアマリン色でリストxdataについてのヒストグラムを描画する	plt.hist(xdata, color='mediumaquamarine')
リストxdataとリストydataについて破線グラフを描画して、その色をダークスラテグレーに設定する	plt.plot(xdata, ydata, linestyle='dash', color='darkslategray')
文字列elementの出力を改行なしに行う	print(s, end='')
データフレームdfをJSONLファイルfilenameにヘッダを付けずに保存する	df.to_csv(filename, header=None)
ミントクリーム色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='mintcream')
破線グラフの色をハニーデューに設定する	plt.plot(xdata, ydata, linestyle='dash', color='honeydew')
リストxdataとリストydataについて散布図を描画して、マーカーの色をナバホホワイトに設定する	plt.plot(xdata, ydata, c='navajowhite')
sがs2で終わるか調べる	s.endswith(s2)
破線グラフの色をアリスブルーに設定する	plt.plot(xdata, ydata, linestyle='dash', color='aliceblue')
折れ線グラフの右三角マーカーを黄色くする	plt.plot(xdata, ydata, marker='>', markerfacecolor='y')
データフレームdf中のカラムcolをリストalistを境界値としてビン分割する	pd.cut(df[col], alist)
カウンタaCounterをカウントが多い順に列挙する	aCounter.most_common()
リストxdataとリストydataについて散布図を描画して、マーカーの色をラベンダーブラッシュに設定する	plt.plot(xdata, ydata, c='lavenderblush')
xの逆正弦	math.asin(x)
データ列ds中にいくつ文字列valueがあるか数える	ds.isin([value]).sum()
sをASCII限定のパターンpatternで分割する	re.split(pattern, s, flags=re.ASCI)
日付adateが火曜日か調べる	adate.weekday() == 1
ペルー色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='peru')
カウンタaCounterから低頻出項目をn個、リストとして使う	aCounter.most_common()[:-n-1:-1]
リストxdataとリストydataについての散布図をミディアムシアグリーン色で重なりを見やすく描画する	plt.plot(xdata, ydata, c='mediumseagreen', alpha=0.5)
日付adateと日付adate2の時間差が何秒か知る	(adate - adate2).total_seconds()
リストxdataとリストydataについて折れ線グラフを描画して、その色をライトグレーに設定する	plt.plot(xdata, ydata, color='lightgrey')
リストxdataとリストydataについての散布図をライトグレー色で重なりを見やすく描画する	plt.plot(xdata, ydata, c='lightgray', alpha=0.5)
リストxdataとリストydataについての散布図をライトグリーン色で重なりを見やすく描画する	plt.plot(xdata, ydata, c='lightseagreen', alpha=0.5)
リストxdataとリストydataについての散布図をグリーン色で描画する	plt.plot(xdata, ydata, c='green')
整数nをn2分の一にする	n //= n2
ダークサーモン色でリストxdataについてのヒストグラムを描画する	plt.hist(xdata, color='darksalmon')
xの整数部	math.modf(x)[1]
モカシン色のマーカーで散布図を描画する	plt.plot(xdata, ydata, c='moccasin')
散布図にアイボリー色のマーカーを使う	plt.plot(xdata, ydata, c='ivory')
リストxdataとリストydataについて散布図を描画して、マーカーの色を青に設定する	plt.plot(xdata, ydata, c='blue')
リストxdataをマルーン色のヒストグラムで描画する	plt.hist(xdata, color='maroon')
散布図にミディアムパープル色のマーカーを使う	plt.plot(xdata, ydata, c='mediumpurple')
nとn2の和	n + n2
バイオレット色のマーカーで散布図を描画する	plt.plot(xdata, ydata, c='violet')
タプルatupleを引数として展開して表示する	print(*atuple)
破線グラフの色をカーキに設定する	plt.plot(xdata, ydata, linestyle='dash', color='khaki')
リストxdataをミディアムブルー色のヒストグラムで描画する	plt.hist(xdata, color='mediumblue')
リストxdataとリストydataについて折れ線グラフを描画して、その色をインディゴに設定する	plt.plot(xdata, ydata, color='indigo')
リストxdataとリストydataについての散布図をマルーン色で描画する	plt.plot(xdata, ydata, c='maroon')
パールバイオレットレッド色のマーカーで散布図を描画する	plt.plot(xdata, ydata, c='palevioletred')
折れ線グラフの三角マーカーを黄色くする	plt.plot(xdata, ydata, marker='^', markerfacecolor='y')
マルーン色の折れ線グラフを描画する	plt.plot(xdata, ydata, color='maroon')
リストxdataとリストydataについてゴールデンロッド色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='goldenrod')
s中の複数行対応のパターンpatternによる全てのマッチを使う	re.findall(pattern, s, flags=re.MULTILINE)
sを改行で区切る	s.splitlines()
折れ線グラフの星マーカーを緑色に設定する	plt.plot(xdata, ydata, marker='*', markerfacecolor='g')
リストxdataとリストydataについて散布図を描画して、左三角マーカーの色をカラーコードrgbに設定する	plt.plot(xdata, ydata, marker='<', c=rgb)
数式として、zについてeの積分を求める	sympy.integrate(e, z)
リストxdataとリストydataについての散布図に黒い左三角マーカーを描画する	plt.plot(xdata, ydata, marker='<', c='k')
データフレームを表示するとき、表示可能な最大行数を変更する	pd.set_option('display.max_rows', n)
リストxdataとリストydataについての散布図をシーグリーン色で重なりを見やすく描画する	plt.plot(xdata, ydata, c='seagreen', alpha=0.5)
データフレームdfのn行目からn2行目までを抽出する	df[n:n2]
オブジェクトobjのプロパティをsで指定して、その値を使う	getattr(obj, s)
オプションで、改行コードを動作環境依存に設定する	newline = None
リストalistを等量でビン数nでビン分割する	pd.qcut(alist, n)
リストxdataとリストydataの点線グラフを描画して、その色をカラーコードrgbに設定する	plt.plot(xdata, ydata, linestyle='dotted', color=rgb)
xが負の数か調べる	x < 0
CSVファイルTSVファイルfilenameをn番目のカラムをインデックスとして読み込む	pd.read_csv(filename, index_col=n)
リストxdataをライトブルー色のヒストグラムで描画する	plt.hist(xdata, color='lightblue')
データフレームdfの欠損値を中央値で埋める	df.fillna(df.median())
ダーク・スラテグレー色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='darkslategrey')
グレー色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='grey')
辞書adictをインデント幅nのJSON形式の文字列に変換する	json.dumps(adict, ensure_ascii=False, indent=n)
データフレームdfのカラムcol毎の平均値	df.groupby(col).mean()
リストxdataとリストydataについての散布図をオリベドラブ色で描画する	plt.plot(xdata, ydata, c='olivedrab')
